t,F,F
-1,0,3.5662909
-0.5,0,4.0645919
0,0,4.4269462
7.81E-03,1.5274605,4.5569582
9.77E-03,1.5421427,4.5768056
1.17E-02,1.6339132,4.5777717
1.37E-02,1.978229,4.5777802
1.56E-02,2.636898,4.5777798
1.76E-02,3.0314403,4.5777802
1.95E-02,3.0518503,4.5777802
2.15E-02,3.0518503,4.5777802
2.34E-02,3.0518503,4.5777802
2.54E-02,3.0518503,4.5777802
2.73E-02,3.0518503,4.5777802
2.93E-02,3.0518503,4.5777802
3.13E-02,3.0518503,4.5777802
3.32E-02,3.0518503,4.5777802
3.52E-02,3.0518503,4.5777802
3.71E-02,3.0518503,4.5777802
3.91E-02,3.0518503,4.5777802
4.10E-02,3.0518503,4.5777802
4.30E-02,3.0518503,4.5777802
4.49E-02,3.0518503,4.5777802
4.69E-02,3.0518503,4.5777802
4.88E-02,3.0518503,4.5777802
5.08E-02,3.0518503,4.5777802
5.27E-02,3.0518503,4.5777802
5.47E-02,3.0518503,4.5777802
5.66E-02,3.0518503,4.5777802
5.86E-02,3.0518503,4.5777802
6.05E-02,3.0518503,4.5777802
6.25E-02,3.0518503,4.5777802
6.45E-02,3.0518503,4.5777802
6.64E-02,3.0518503,4.5777802
6.84E-02,3.0518503,4.5777802
7.03E-02,3.0518503,4.5777802
7.23E-02,3.0518503,4.5777802
7.42E-02,3.0518503,4.5777802
7.62E-02,3.0518503,4.5777802
7.81E-02,3.0518503,4.5777802
8.01E-02,3.0518503,4.5777802
8.20E-02,3.0518503,4.5777802
8.40E-02,3.0518503,4.5777802
8.59E-02,3.0518503,4.5777802
8.79E-02,3.0518503,4.5777802
8.98E-02,3.0518503,4.5777802
9.18E-02,3.0518503,4.5777802
9.38E-02,3.0518503,4.5777802
9.57E-02,3.0518503,4.5777802
9.77E-02,3.0518503,4.5777802
9.96E-02,3.0518503,4.5777802
0.1015625,3.0518503,6.1037102
0.103515625,3.0518503,6.1037102
0.10546875,3.0518503,7.6296406
0.107421875,3.0518503,7.6296406
0.109375,3.0518503,7.6296406
0.111328125,3.0518503,7.6296406
0.11328125,3.0518503,7.6296406
0.115234375,3.0518503,7.6296406
0.1171875,3.0518503,7.6296406
0.119140625,3.0518503,7.6296406
0.12109375,3.0518503,7.6296406
0.123046875,3.0518503,7.6296406
0.125,3.0518503,7.6296406
0.126953125,3.0518503,7.6296406
0.12890625,3.0518503,7.6296406
0.130859375,3.0518503,7.6296406
0.1328125,3.0518503,7.6296406
0.134765625,3.0518503,7.6296406
0.13671875,3.0518503,7.6296406
0.138671875,3.0518503,7.6296406
0.140625,3.0518503,7.6296406
0.142578125,3.0518503,7.6296406
0.14453125,3.0518503,7.6296406
0.146484375,3.0518503,7.6296406
0.1484375,3.0518503,7.6296406
0.150390625,3.0518503,7.6296406
0.15234375,3.0518503,7.6296406
0.154296875,3.0518503,7.6296406
0.15625,3.0518503,7.6296406
0.158203125,3.0518503,7.6296406
0.16015625,3.0518503,7.6296406
0.162109375,3.0518503,7.6296406
0.1640625,3.0518503,7.6296406
0.166015625,3.0518503,7.6296406
0.16796875,3.0518503,7.6296406
0.169921875,3.0518503,7.6296406
0.171875,3.0518503,7.6296406
0.173828125,3.0518503,7.6296406
0.17578125,3.0518503,7.6296406
0.177734375,3.0518503,7.6296406
0.1796875,3.0518503,7.6296406
0.181640625,3.0518503,7.6296406
0.18359375,3.0518503,7.6296406
0.185546875,4.5777802,7.6296406
0.1875,4.5777802,9.15557
0.189453125,4.5777802,9.15557
0.19140625,4.5777802,9.15557
0.193359375,4.5777802,9.15557
0.1953125,4.5777802,9.15557
0.197265625,4.5777802,9.15557
0.19921875,4.5777802,9.15557
0.201171875,4.5777802,9.15557
0.203125,4.5777802,9.15557
0.205078125,4.5777802,9.15557
0.20703125,4.5777802,9.15557
0.208984375,4.5777802,9.15557
0.2109375,4.5777802,9.15557
0.212890625,4.5777802,9.15557
0.21484375,4.5777802,9.15557
0.216796875,4.5777802,9.15557
0.21875,4.5777802,9.15557
0.220703125,4.5777802,9.15557
0.22265625,4.5777802,9.15557
0.224609375,6.1037102,10.6815
0.2265625,7.6296406,10.6815
0.228515625,7.6296406,10.6815
0.23046875,7.6296406,10.6815
0.232421875,7.6296406,12.207431
0.234375,7.6296406,13.73336
0.236328125,7.6296406,13.73336
0.23828125,7.6296406,15.259291
0.240234375,7.6296406,15.259291
0.2421875,7.6296406,15.259291
0.244140625,7.6296406,15.259291
0.24609375,7.6296406,16.785221
0.248046875,7.6296406,16.785221
0.25,7.6296406,18.311152
0.251953125,7.6296406,19.83708
0.25390625,7.6296406,19.83708
0.255859375,7.6296406,19.83708
0.2578125,7.6296406,19.83708
0.259765625,9.15557,19.83708
0.26171875,9.15557,19.83708
0.263671875,9.15557,19.83708
0.265625,9.15557,19.83708
0.267578125,9.15557,19.83708
0.26953125,9.15557,19.83708
0.271484375,9.15557,21.36301
0.2734375,9.15557,21.36301
0.275390625,9.15557,22.888941
0.27734375,9.15557,24.414871
0.279296875,9.15557,24.414871
0.28125,9.15557,24.414871
0.283203125,10.6815,25.940802
0.28515625,10.6815,25.940802
0.287109375,10.6815,27.46673
0.2890625,10.6815,27.46673
0.291015625,10.6815,27.46673
0.29296875,10.6815,27.46673
0.294921875,10.6815,28.992661
0.296875,10.6815,28.992661
0.298828125,10.6815,30.518591
0.30078125,10.6815,30.518591
0.302734375,10.6815,30.518591
0.3046875,10.6815,32.044521
0.306640625,12.207431,32.044521
0.30859375,13.73336,32.044521
0.310546875,13.73336,32.044521
0.3125,13.73336,32.044521
0.314453125,15.259291,32.044521
0.31640625,15.259291,32.044521
0.318359375,15.259291,32.044521
0.3203125,15.259291,32.044521
0.322265625,16.785221,33.57045
0.32421875,16.785221,33.57045
0.326171875,16.785221,33.57045
0.328125,16.785221,35.096382
0.330078125,18.311152,36.622311
0.33203125,19.83708,38.148243
0.333984375,19.83708,38.148243
0.3359375,19.83708,38.148243
0.337890625,19.83708,39.674171
0.33984375,19.83708,41.2001
0.341796875,19.83708,41.2001
0.34375,19.83708,41.2001
0.345703125,21.36301,42.726032
0.34765625,21.36301,42.726032
0.349609375,21.36301,44.251961
0.3515625,21.36301,44.251961
0.353515625,22.888941,44.251961
0.35546875,22.888941,45.777893
0.357421875,24.414871,45.777893
0.359375,25.940802,45.777893
0.361328125,25.940802,45.777893
0.36328125,25.940802,47.303822
0.365234375,27.46673,47.303822
0.3671875,27.46673,47.303822
0.369140625,28.992661,47.303822
0.37109375,28.992661,47.303822
0.373046875,28.992661,47.303822
0.375,28.992661,47.303822
0.376953125,28.992661,48.82975
0.37890625,28.992661,48.82975
0.380859375,30.518591,48.82975
0.3828125,30.518591,50.355682
0.384765625,32.044521,50.355682
0.38671875,32.044521,51.881611
0.388671875,32.044521,53.407543
0.390625,32.044521,53.407543
0.392578125,32.044521,54.933472
0.39453125,33.57045,54.933472
0.396484375,33.57045,54.933472
0.3984375,33.57045,56.4594
0.400390625,33.57045,56.4594
0.40234375,35.096382,56.4594
0.404296875,35.096382,56.4594
0.40625,36.622311,56.4594
0.408203125,38.148243,56.4594
0.41015625,38.148243,56.4594
0.412109375,39.674171,57.985332
0.4140625,39.674171,57.985332
0.416015625,41.2001,59.511261
0.41796875,41.2001,59.511261
0.419921875,42.726032,59.511261
0.421875,42.726032,59.511261
0.423828125,44.251961,61.037193
0.42578125,44.251961,61.037193
0.427734375,45.777893,62.563122
0.4296875,45.777893,62.563122
0.431640625,47.303822,62.563122
0.43359375,47.303822,64.08905
0.435546875,47.303822,65.614983
0.4375,47.303822,65.614983
0.439453125,47.303822,65.614983
0.44140625,48.82975,65.614983
0.443359375,48.82975,67.140915
0.4453125,50.355682,67.140915
0.447265625,50.355682,67.140915
0.44921875,50.355682,67.140915
0.451171875,51.881611,67.140915
0.453125,53.407543,67.140915
0.455078125,53.407543,68.66684
0.45703125,56.4594,68.66684
0.458984375,56.4594,68.66684
0.4609375,56.4594,68.66684
0.462890625,57.985332,70.192772
0.46484375,59.511261,70.192772
0.466796875,61.037193,70.192772
0.46875,61.037193,70.192772
0.470703125,62.563122,70.192772
0.47265625,64.08905,70.192772
0.474609375,64.08905,71.718704
0.4765625,65.614983,71.718704
0.478515625,65.614983,71.718704
0.48046875,65.614983,73.244629
0.482421875,67.140915,73.244629
0.484375,68.66684,74.770561
0.486328125,68.66684,76.296494
0.48828125,70.192772,76.296494
0.490234375,70.192772,77.822426
0.4921875,71.718704,77.822426
0.494140625,71.718704,79.348351
0.49609375,73.244629,79.348351
0.498046875,73.244629,79.348351
0.5,74.770561,79.348351
0.501953125,76.296494,79.348351
0.50390625,76.296494,79.348351
0.505859375,77.822426,80.874283
0.5078125,79.348351,82.400215
0.509765625,80.874283,82.400215
0.51171875,82.400215,83.92614
0.513671875,83.92614,83.92614
0.515625,83.92614,83.92614
0.517578125,83.92614,83.92614
0.51953125,85.452072,83.92614
0.521484375,86.978004,83.92614
0.5234375,88.503929,83.92614
0.525390625,90.029861,83.92614
0.52734375,91.555794,83.92614
0.529296875,91.555794,85.452072
0.53125,93.081726,85.452072
0.533203125,94.607651,86.978004
0.53515625,94.607651,86.978004
0.537109375,96.133583,88.503929
0.5390625,96.133583,88.503929
0.541015625,97.659515,88.503929
0.54296875,99.18544,90.029861
0.544921875,99.18544,90.029861
0.546875,100.71137,91.555794
0.548828125,100.71137,91.555794
0.55078125,102.2373,91.555794
0.552734375,103.76324,91.555794
0.5546875,103.76324,93.081726
0.556640625,103.76324,93.081726
0.55859375,103.76324,93.081726
0.560546875,105.28916,94.607651
0.5625,108.34103,94.607651
0.564453125,109.86695,94.607651
0.56640625,109.86695,96.133583
0.568359375,111.39288,96.133583
0.5703125,111.39288,96.133583
0.572265625,112.91882,96.133583
0.57421875,114.44474,97.659515
0.576171875,114.44474,99.18544
0.578125,115.97067,99.18544
0.580078125,115.97067,100.71137
0.58203125,115.97067,100.71137
0.583984375,117.4966,102.2373
0.5859375,117.4966,102.2373
0.587890625,119.02254,102.2373
0.58984375,119.02254,102.2373
0.591796875,120.54846,102.2373
0.59375,120.54846,102.2373
0.595703125,122.07439,102.2373
0.59765625,123.60033,102.2373
0.599609375,123.60033,102.2373
0.6015625,123.60033,102.2373
0.603515625,123.60033,102.2373
0.60546875,123.60033,102.2373
0.607421875,125.12625,102.2373
0.609375,125.12625,102.2373
0.611328125,126.65218,102.2373
0.61328125,126.65218,102.2373
0.615234375,128.17812,102.2373
0.6171875,129.70404,102.2373
0.619140625,129.70404,102.2373
0.62109375,129.70404,102.2373
0.623046875,129.70404,103.76324
0.625,129.70404,103.76324
0.626953125,129.70404,103.76324
0.62890625,129.70404,103.76324
0.630859375,129.70404,103.76324
0.6328125,129.70404,103.76324
0.634765625,129.70404,103.76324
0.63671875,129.70404,103.76324
0.638671875,129.70404,103.76324
0.640625,129.70404,103.76324
0.642578125,129.70404,103.76324
0.64453125,129.70404,103.76324
0.646484375,129.70404,103.76324
0.6484375,129.70404,103.76324
0.650390625,129.70404,103.76324
0.65234375,128.17812,103.76324
0.654296875,128.17812,103.76324
0.65625,128.17812,103.76324
0.658203125,128.17812,103.76324
0.66015625,128.17812,102.2373
0.662109375,128.17812,102.2373
0.6640625,128.17812,102.2373
0.666015625,128.17812,102.2373
0.66796875,128.17812,102.2373
0.669921875,128.17812,102.2373
0.671875,128.17812,102.2373
0.673828125,128.17812,102.2373
0.67578125,128.17812,102.2373
0.677734375,128.17812,102.2373
0.6796875,126.65218,102.2373
0.681640625,126.65218,102.2373
0.68359375,126.65218,102.2373
0.685546875,126.65218,102.2373
0.6875,126.65218,102.2373
0.689453125,126.65218,102.2373
0.69140625,125.12625,102.2373
0.693359375,125.12625,102.2373
0.6953125,125.12625,102.2373
0.697265625,125.12625,102.2373
0.69921875,123.60033,102.2373
0.701171875,122.07439,102.2373
0.703125,122.07439,102.2373
0.705078125,122.07439,103.76324
0.70703125,122.07439,105.28916
0.708984375,122.07439,105.28916
0.7109375,120.54846,105.28916
0.712890625,120.54846,106.81509
0.71484375,120.54846,108.34103
0.716796875,120.54846,108.34103
0.71875,119.02254,109.86695
0.720703125,119.02254,109.86695
0.72265625,119.02254,111.39288
0.724609375,117.4966,111.39288
0.7265625,117.4966,111.39288
0.728515625,115.97067,112.91882
0.73046875,114.44474,112.91882
0.732421875,114.44474,114.44474
0.734375,112.91882,114.44474
0.736328125,112.91882,115.97067
0.73828125,112.91882,115.97067
0.740234375,111.39288,115.97067
0.7421875,109.86695,115.97067
0.744140625,109.86695,115.97067
0.74609375,109.86695,115.97067
0.748046875,109.86695,115.97067
0.75,109.86695,115.97067
0.751953125,109.86695,115.97067
0.75390625,109.86695,115.97067
0.755859375,108.34103,115.97067
0.7578125,108.34103,115.97067
0.759765625,106.81509,115.97067
0.76171875,106.81509,115.97067
0.763671875,105.28916,115.97067
0.765625,105.28916,115.97067
0.767578125,105.28916,115.97067
0.76953125,105.28916,115.97067
0.771484375,105.28916,115.97067
0.7734375,105.28916,115.97067
0.775390625,103.76324,115.97067
0.77734375,102.2373,115.97067
0.779296875,100.71137,115.97067
0.78125,99.18544,115.97067
0.783203125,99.18544,115.97067
0.78515625,99.18544,115.97067
0.787109375,97.659515,115.97067
0.7890625,97.659515,115.97067
0.791015625,96.133583,115.97067
0.79296875,96.133583,115.97067
0.794921875,96.133583,115.97067
0.796875,96.133583,114.44474
0.798828125,94.607651,111.39288
0.80078125,93.081726,109.86695
0.802734375,93.081726,109.86695
0.8046875,91.555794,108.34103
0.806640625,91.555794,106.81509
0.80859375,91.555794,105.28916
0.810546875,90.029861,103.76324
0.8125,90.029861,103.76324
0.814453125,90.029861,100.71137
0.81640625,88.503929,100.71137
0.818359375,86.978004,99.18544
0.8203125,86.978004,97.659515
0.822265625,86.978004,96.133583
0.82421875,86.978004,94.607651
0.826171875,85.452072,93.081726
0.828125,83.92614,91.555794
0.830078125,82.400215,88.503929
0.83203125,82.400215,86.978004
0.833984375,80.874283,86.978004
0.8359375,80.874283,85.452072
0.837890625,77.822426,83.92614
0.83984375,77.822426,82.400215
0.841796875,76.296494,79.348351
0.84375,74.770561,77.822426
0.845703125,74.770561,76.296494
0.84765625,71.718704,71.718704
0.849609375,71.718704,70.192772
0.8515625,70.192772,68.66684
0.853515625,70.192772,68.66684
0.85546875,68.66684,67.140915
0.857421875,68.66684,65.614983
0.859375,67.140915,64.08905
0.861328125,65.614983,62.563122
0.86328125,64.08905,61.037193
0.865234375,64.08905,59.511261
0.8671875,62.563122,57.985332
0.869140625,61.037193,57.985332
0.87109375,59.511261,54.933472
0.873046875,54.933472,53.407543
0.875,53.407543,53.407543
0.876953125,53.407543,51.881611
0.87890625,51.881611,50.355682
0.880859375,50.355682,50.355682
0.8828125,48.82975,48.82975
0.884765625,47.303822,47.303822
0.88671875,44.251961,45.777893
0.888671875,42.726032,44.251961
0.890625,38.148243,42.726032
0.892578125,36.622311,41.2001
0.89453125,36.622311,39.674171
0.896484375,35.096382,36.622311
0.8984375,33.57045,35.096382
0.900390625,32.044521,33.57045
0.90234375,30.518591,32.044521
0.904296875,30.518591,30.518591
0.90625,28.992661,30.518591
0.908203125,25.940802,28.992661
0.91015625,24.414871,25.940802
0.912109375,22.888941,24.414871
0.9140625,21.36301,22.888941
0.916015625,19.83708,21.36301
0.91796875,19.83708,19.83708
0.919921875,18.311152,18.311152
0.921875,16.785221,18.311152
